,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
281,Gentoo penguin (Pygoscelis papua),Biscoe,46.8,16.1,215.0,5500.0,MALE
282,Gentoo penguin (Pygoscelis papua),Biscoe,46.3,15.8,215.0,5050.0,MALE
283,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,15.8,215.0,5300.0,MALE
284,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,13.8,215.0,4750.0,FEMALE
285,Gentoo penguin (Pygoscelis papua),Biscoe,42.9,13.1,215.0,5000.0,FEMALE
286,Gentoo penguin (Pygoscelis papua),Biscoe,46.1,15.1,215.0,5100.0,MALE
287,Gentoo penguin (Pygoscelis papua),Biscoe,46.8,14.3,215.0,4850.0,FEMALE
288,Gentoo penguin (Pygoscelis papua),Biscoe,47.2,15.5,215.0,4975.0,FEMALE
289,Gentoo penguin (Pygoscelis papua),Biscoe,50.7,15.0,223.0,5550.0,MALE
290,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,16.4,223.0,5950.0,MALE
291,Gentoo penguin (Pygoscelis papua),Biscoe,54.3,15.7,231.0,5650.0,MALE
292,Adelie Penguin (Pygoscelis adeliae),Torgersen,,,,,
293,Adelie Penguin (Pygoscelis adeliae),Torgersen,40.2,17.0,176.0,3450.0,FEMALE
294,Adelie Penguin (Pygoscelis adeliae),Torgersen,34.4,18.4,184.0,3325.0,FEMALE
295,Adelie Penguin (Pygoscelis adeliae),Torgersen,37.2,19.4,184.0,3900.0,MALE
296,Adelie Penguin (Pygoscelis adeliae),Torgersen,36.6,17.8,185.0,3700.0,FEMALE
297,Adelie Penguin (Pygoscelis adeliae),Torgersen,35.1,19.4,193.0,4200.0,MALE
298,Adelie Penguin (Pygoscelis adeliae),Torgersen,36.7,19.3,193.0,3450.0,FEMALE
299,Adelie Penguin (Pygoscelis adeliae),Torgersen,34.1,18.1,193.0,3475.0,
300,Adelie Penguin (Pygoscelis adeliae),Torgersen,37.8,17.1,186.0,3300.0,
301,Adelie Penguin (Pygoscelis adeliae),Torgersen,35.2,15.9,186.0,3050.0,FEMALE
302,Adelie Penguin (Pygoscelis adeliae),Torgersen,39.5,17.4,186.0,3800.0,FEMALE
303,Adelie Penguin (Pygoscelis adeliae),Torgersen,46.0,21.5,194.0,4200.0,MALE
304,Adelie Penguin (Pygoscelis adeliae),Torgersen,41.4,18.5,202.0,3875.0,MALE
305,Adelie Penguin (Pygoscelis adeliae),Torgersen,44.1,18.0,210.0,4000.0,MALE
306,Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,16.1,187.0,3550.0,FEMALE
307,Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,17.2,187.0,3150.0,FEMALE
308,Adelie Penguin (Pygoscelis adeliae),Torgersen,36.7,18.8,187.0,3800.0,FEMALE
309,Adelie Penguin (Pygoscelis adeliae),Torgersen,41.5,18.3,195.0,4300.0,MALE
310,Adelie Penguin (Pygoscelis adeliae),Torgersen,42.1,19.1,195.0,4000.0,MALE
311,Adelie Penguin (Pygoscelis adeliae),Torgersen,40.3,18.0,195.0,3250.0,FEMALE
312,Adelie Penguin (Pygoscelis adeliae),Torgersen,39.2,19.6,195.0,4675.0,MALE
313,Adelie Penguin (Pygoscelis adeliae),Torgersen,38.7,19.0,195.0,3450.0,FEMALE
314,Adelie Penguin (Pygoscelis adeliae),Torgersen,42.8,18.5,195.0,4250.0,MALE
315,Adelie Penguin (Pygoscelis adeliae),Torgersen,37.8,17.3,180.0,3700.0,
316,Adelie Penguin (Pygoscelis adeliae),Torgersen,38.6,17.0,188.0,2900.0,FEMALE
317,Adelie Penguin (Pygoscelis adeliae),Torgersen,42.9,17.6,196.0,4700.0,MALE
318,Adelie Penguin (Pygoscelis adeliae),Torgersen,39.6,17.2,196.0,3550.0,FEMALE
319,Adelie Penguin (Pygoscelis adeliae),Torgersen,39.1,18.7,181.0,3750.0,MALE
320,Adelie Penguin (Pygoscelis adeliae),Torgersen,38.9,17.8,181.0,3625.0,FEMALE
321,Adelie Penguin (Pygoscelis adeliae),Torgersen,35.7,17.0,189.0,3350.0,FEMALE
322,Adelie Penguin (Pygoscelis adeliae),Torgersen,41.1,18.6,189.0,3325.0,MALE
323,Adelie Penguin (Pygoscelis adeliae),Torgersen,34.6,17.2,189.0,3200.0,FEMALE
324,Adelie Penguin (Pygoscelis adeliae),Torgersen,42.5,20.7,197.0,4500.0,MALE
325,Adelie Penguin (Pygoscelis adeliae),Torgersen,43.1,19.2,197.0,3500.0,MALE
326,Adelie Penguin (Pygoscelis adeliae),Torgersen,45.8,18.9,197.0,4150.0,MALE
327,Adelie Penguin (Pygoscelis adeliae),Torgersen,41.1,17.6,182.0,3200.0,FEMALE
328,Adelie Penguin (Pygoscelis adeliae),Torgersen,35.9,16.6,190.0,3050.0,FEMALE
329,Adelie Penguin (Pygoscelis adeliae),Torgersen,33.5,19.0,190.0,3600.0,FEMALE
330,Adelie Penguin (Pygoscelis adeliae),Torgersen,39.7,18.4,190.0,3900.0,MALE
331,Adelie Penguin (Pygoscelis adeliae),Torgersen,35.5,17.5,190.0,3700.0,FEMALE
332,Adelie Penguin (Pygoscelis adeliae),Torgersen,42.0,20.2,190.0,4250.0,
333,Adelie Penguin (Pygoscelis adeliae),Torgersen,39.3,20.6,190.0,3650.0,MALE
334,Adelie Penguin (Pygoscelis adeliae),Torgersen,38.5,17.9,190.0,3325.0,FEMALE
335,Adelie Penguin (Pygoscelis adeliae),Torgersen,37.7,19.8,198.0,3500.0,MALE
336,Adelie Penguin (Pygoscelis adeliae),Torgersen,34.6,21.1,198.0,4400.0,MALE
337,Adelie Penguin (Pygoscelis adeliae),Torgersen,41.8,19.4,198.0,4450.0,MALE
338,Adelie Penguin (Pygoscelis adeliae),Torgersen,38.6,21.2,191.0,3800.0,MALE
339,Adelie Penguin (Pygoscelis adeliae),Torgersen,38.8,17.6,191.0,3275.0,FEMALE
340,Adelie Penguin (Pygoscelis adeliae),Torgersen,40.9,16.8,191.0,3700.0,FEMALE
341,Adelie Penguin (Pygoscelis adeliae),Torgersen,39.0,17.1,191.0,3050.0,FEMALE
342,Adelie Penguin (Pygoscelis adeliae),Torgersen,40.6,19.0,199.0,4000.0,MALE
343,Adelie Penguin (Pygoscelis adeliae),Torgersen,37.3,20.5,199.0,3775.0,MALE
